authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Morris et al.,2017,2007,RCT,Impacts of Family Rewards on Adolescents' Mental Health and Problem Behavior: Understanding the Full Range of Effects of a Conditional Cash Transfer Program.,Y,"No baseline values, OLS and AMOVA to compare treatment/control",Morris_17,,Y,,Cash Transfer,Conditional,USA,0,adolescents,53.80%,9th grade (around 14),14,511,262,249,,CT USD 6000 on average for two years (source: https://www.mdrc.org/publication/toward-reduced-poverty-across-generations),depression (Behavior Assessment System for Children (BASC)),Depression,1,0,0,6000,lumpsum,6000,,,,,,24,2 years,0,Y,,0,,0.13,0.22,,,,,,,,,,,,,1.59,2.56,,,"deliquent behavior, aggresive behavior, drug use",N,,,Table 2,Table 2,-,"Page 329, paragraph 3",https://www.mdrc.org/publication/toward-reduced-poverty-across-generations
Morris et al.,2017,2007,RCT,Impacts of Family Rewards on Adolescents' Mental Health and Problem Behavior: Understanding the Full Range of Effects of a Conditional Cash Transfer Program.,Y,"No baseline values, OLS and AMOVA to compare treatment/control",Morris_17,,Y,,Cash Transfer,Conditional,USA,0,adolescents,53.80%,9th grade (around 14),14,511,262,249,,CT USD 6000 on average for two years (source: https://www.mdrc.org/publication/toward-reduced-poverty-across-generations),anxiety,Anxiety,1,0,0,6000,lumpsum,6000,,,,,,24,2 years,0,N,,0,,-0.38,0.26,,,,,,,,,,,,,3.78,3.05,,,"deliquent behavior, aggresive behavior, drug use",N,,,Table 2,Table 2,-,"Page 329, paragraph 3",https://www.mdrc.org/publication/toward-reduced-poverty-across-generations
Morris et al.,2017,2007,RCT,Impacts of Family Rewards on Adolescents' Mental Health and Problem Behavior: Understanding the Full Range of Effects of a Conditional Cash Transfer Program.,Y,"No baseline values, OLS and AMOVA to compare treatment/control",Morris_17,,Y,,Cash Transfer,Conditional,USA,0,adolescents,53.80%,9th grade (around 14),14,511,262,249,,CT USD 6000 on average for two years (source: https://www.mdrc.org/publication/toward-reduced-poverty-across-generations),Deliquent Behavior,Other,1,0,0,6000,lumpsum,6000,,,,,,24,2 years,0,N,,0,,-0.04,0.02,,,,,,,,,,,,,1.19,0.24,,,"deliquent behavior, aggresive behavior, drug use",N,,,Table 2,Table 2,-,"Page 329, paragraph 3",https://www.mdrc.org/publication/toward-reduced-poverty-across-generations
Muller et al.,2019,2014,RCT,Broken Promises : Evaluating an Incomplete Cash Transfer Program,Y,Effect of incomplete cash programs - unplanned cancelations,muller_19,Y,,,Cash Transfer,Unconditional,South Sudan,1,youth,60%,18 to 34,27,1495,,,,unconditional cash transfer plus business & life skills training vs. control,psychological wellbeing index,Happiness or Satisfaction,0,,1,1000,lumpsum,1000,,,,,,,,0,N,,1,,0.002,0.965,,,,,,,,,,,,,,,,,,N,"ITT with controls, comparing CT vs. control",,,,,,
Muller et al.,2019,2014,RCT,Broken Promises : Evaluating an Incomplete Cash Transfer Program,Y,Effect of incomplete cash programs - unplanned cancelations,muller_19,Y,,,Cash Transfer,Unconditional,South Sudan,1,youth,60%,18 to 34,27,1474,,,,unconditional cash transfer plus business & life skills training vs. training only,psychological wellbeing index,Happiness or Satisfaction,0,,1,1000,lumpsum,1000,,,,,,,,0,N,,1,,0.064,0.505,,,,,,,,,,,,,,,,,,N,"TOT with controls + geography controls, comparing training + grant vs. training",,,,,,
Muller et al.,2019,2014,RCT,Broken Promises : Evaluating an Incomplete Cash Transfer Program,Y,Effect of incomplete cash programs - unplanned cancelations,muller_19,Y,,,Cash Transfer,Unconditional,South Sudan,1,youth,60%,18 to 34,27,1474,,,,unconditional cash transfer plus business & life skills training vs. training only,psychological wellbeing index,Happiness or Satisfaction,0,,1,1000,lumpsum,1000,,,,,,,,0,N,,1,,0.701,0.027,,,,,,,,,,,,,,,,,,N,"LATE with controls + geography controls, comparing training + grant vs. training",,,,,,
Natali e al.,2018,2010,RCT,Does money buy happiness? Evidence from an unconditional cash transfer in Zambia,Y,,natali_18,,Y,,Cash Transfer,Unconditional,Zambia,1,women in poor households,100.00%,Mothers on average 29 years,29,2203,1084,1119,,"During the study reference period (2010–2014), beneficiary households received a flat transfer of 120 Zambian Kwacha (rebased, ZMW), corresponding to roughly 24 US dollars, on a bi-monthly basis. T",happiness,Happiness or Satisfaction,0,,0,432,,,,,,,,36,36 months,0,N,,1,,0.19,0.063,0.82,,,,,,,,,,,,,,,,,,,,Table 1,Abstract + Table 2,Table 2,Table 1,"Page 227, paragraph 2"
Natali e al.,2018,2010,RCT,Does money buy happiness? Evidence from an unconditional cash transfer in Zambia,Y,,natali_18,,Y,,Cash Transfer,Unconditional,Zambia,1,women in poor households,100.00%,Mothers on average 29 years,29,2203,1084,1119,,"During the study reference period (2010–2014), beneficiary households received a flat transfer of 120 Zambian Kwacha (rebased, ZMW), corresponding to roughly 24 US dollars, on a bi-monthly basis. T",happiness,Happiness or Satisfaction,0,,0,816,,,,,,,,68,48 months,0,N,,1,,0.25,0.054,0.78,,,,,,,,,,,,,,,,,,,,Table 1,Abstract + Table 2,Table 2,Table 1,"Page 227, paragraph 2"
Nguyen et al.,2013,1994,,Were the mental health benefits of a housing mobility intervention larger for adolescents in higher socioeconomic status families?,Y,baseline age is 9 years.,Nguyen_2013,Y,,,Neighborhood,In-kind,USA,0,adolescents (girls),100%,12 to 19,15,1426,983,443,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6),Stress,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,,-0.12,,,,,,,,,,,,,,,,,,gender-stratified ITT estimates for modification of treat effects on mental health by family characteristics,,p value provided without further info,,,,,,
Nguyen et al.,2013,1994,,Were the mental health benefits of a housing mobility intervention larger for adolescents in higher socioeconomic status families?,Y,baseline age is 9 years.,Nguyen_2013,Y,,,Neighborhood,In-kind,USA,0,adolescents (boys),0%,12 to 19,15,1403,967,436,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6),Stress,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,-1.882,0.14,0.074,,,,,,,,,,,,,,,,,gender-stratified ITT estimates for modification of treat effects on mental health by family characteristics,,p value provided without further info,,,,,,
Nguyen et al.,2013,1994,,Were the mental health benefits of a housing mobility intervention larger for adolescents in higher socioeconomic status families?,Y,baseline age is 9 years.,Nguyen_2013,Y,,,Neighborhood,In-kind,USA,0,adolescents (girls),100%,12 to 19,15,1426,983,443,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),behavior problems (Behavior Problems Index),Other,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,-1.646,-0.03,0.018,,,,,,,,,,,,,,,,,gender-stratified ITT estimates for modification of treat effects on mental health by family characteristics,,p value provided without further info,,,,,,
Nguyen et al.,2013,1994,,Were the mental health benefits of a housing mobility intervention larger for adolescents in higher socioeconomic status families?,Y,baseline age is 9 years.,Nguyen_2013,Y,,,Neighborhood,In-kind,USA,0,adolescents (boys),0%,12 to 19,15,1403,967,436,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),behavior problems (Behavior Problems Index),Other,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,-2.752,0.18,0.065,,,,,,,,,,,,,,,,,gender-stratified ITT estimates for modification of treat effects on mental health by family characteristics,,p value provided without further info,,,,,,
Nguyen et al.,2016,1994,,Heterogeneous effects of housing vouchers on the mental health of US adolescents,Y,Effects broken into random groups,Nguyen_2016,Y,,,Neighborhood,In-kind,USA,0,adolescents,50%,12 to 19,15,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6),Stress,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,-1.645,-0.12,0.073,,,,,,,,,,,,,,,,,,Y,"For psychological distress, Chicago participants experienced null treatment effects. Outside Chicago, boys experienced detrimental effects, whereas girls experi- enced beneficial effects. Behavior problems effects were null for adolescents who were aged 10 years or younger at baseline. For adolescents who were older than 10 years at baseline, violent crime victimization, unmarried parents, and unsafe neighborhoods increased adverse treatment effects. Adolescents who were older than 10 years at baseline without learning problems or violent crime victimization, and whose parents moved for better schools, experienced beneficial effects.",,,,,,
Ohrnberger et al.,2020,2006,,The worse the better? Quantile treatment effects of a conditional cash transfer programme on mental health,Y,,Ohrnberger_20,,Y,,Cash Transfer,Conditional,Malawi,1,adults (age 16+) living in three rural districts,59%,Adults older than 16,39,790,522,268,,"(1) untreated, (2) treated with the smaller cash transfer (Malawian Kwacha MKW 500 per individual/ MKW 1000 per couple); or (3) treated with the larger cash transfer
[MKW (Malawian Kwacha 2000 per individual or MKW 4000 pe couple)]. The amounts of MKW 1000 or MKW 4000 were offered to couples jointly maintaining their HIV status","SF12 mental health scale (screening tool for mild to moderate common mental health disorders
such as depression, anxiety and psychological distress)",Happiness or Satisfaction,0,,1,2.1,,,,,,,,12,1 year,0,N,,0,,1.124,0.64,,,,,49.6,9.8,,,,,50.2,10.6,,,,,,,cost of intervention estimated assuming 72% of couples in. both medium and high groups,,Table 1 - notes,Table 4 - Average Effect,-,table 1,Page 3 paragraph 2
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (girls),100%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6),Stress,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,,-0.123,0.061,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (boys),0%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),psychological distress (K6),Stress,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,1,,0.15,0.064,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (girls),100%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),behavior problems (Behavior Problems Index),Other,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,N,,0,,-0.035,0.06,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (boys),0%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),behavior problems (Behavior Problems Index),Other,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,N,,0,,0.164,0.06,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (girls),100%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),lifetime major depressive disorder (based on DSM interview),Depression,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,0,,-0.032,0.016,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Osypuk et al.,2012,1994,,Gender and crime victimization modify neighborhood effects on adolescent mental health.,Y,"regression coefficients and confidence intervals provided, but may not have enough info for the estimations we need",Osypuk_2012,Y,,,Neighborhood,In-kind,USA,0,youth (boys),0%,16-May,9.94,2829,1950,879,,Moving to Opportunity (moving voucher for subsidized housing in lower-poverty neighborhoods),lifetime major depressive disorder (based on DSM interview),Depression,1,,0,48027,,1827,,,,700,66,66,4-7 years,0,Y,,0,,0.017,0.011,,,,,,,,,,,,,,,,,,Y,null overall treatment effects; female adolescents experienced beneficial mental health effects but male adolescents experienced harmful effects,,,,,,
Richardson et al.,2018,2014,RCT,The effect of affordable daycare on women's mental health: Evidence from a cluster randomized trial in rural India,Y,,richardson_18,,Y,,Asset Transfer,In-kind,India,1,poor households,100%,"Adults, average age 30",30,3041,1486,1555,,daycare,mental distress,Stress,1,,0,,,,,,,,,12,12 months,0,N,,1,,-0.08,0.046,1.98,0.077,,,,,,,,,2.2,2.5,,,,,,,"Village hamlets met the following criteria, established a priori: 1) there was no readily accessible government- operated daycare; 2) at least 25 children between the ages of one and six lived in the hamlet; 3) hamlets had an existing structure suitable for a daycare; 4) a woman qualified to operate the daycare lived in the study hamlet or nearby; and 5) the village council indicated adequate demand for daycare.",,figure 1,Table 3,Table 3,Table 1,-
Roy et al.,2019,2012,RCT,Can transfers and behavior change communication reduce intimate partner violence four years post-program? Experimental evidence from Bangladesh:,Y,,roy_2019,,Y,,Cash Transfer,Unconditional,Bangladesh,1,poor households,0%,"Adults, average age 27",27,1989,994.5,994.5,,USD 19 per month,emotional wellbeing,Happiness or Satisfaction,0,,0,456,,,,,,,,48,4 years after,0,,,1,,0.07,0.07,,,,,,,,,,,,,,,,,,,Age using female's age,,"Appendix Table 17, asumes 50% in each group",Appendix Table 17,already standardized,"table 2 ( average of female respondents, though)",Page 10 paragraph 1
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3273,576,2697,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"psychological distress index (K6), past month",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,1,,-0.107,0.042,0,1,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Experimental ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3273,995,2278,,moving to opportunity - traditional voucher (geographically unrestricted),"psychological distress index (K6), past month",Stress,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,1,,-0.097,0.056,0,1,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Section 8 ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3272,575,2697,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"mental calm, past month",Stress,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,0.018,0.022,0.487,,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Experimental ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3272,995,2277,,moving to opportunity - traditional voucher (geographically unrestricted),"mental calm, past month",Stress,0,,0,85827,,1827,,,,700,120,120,10-15 years,0,N,,0,,-0.025,0.029,0.487,,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Section 8 ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3269,575,2694,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"MDD, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,0,,-0.032,0.017,0.203,,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Experimental ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3269,994,2275,,moving to opportunity - traditional voucher (geographically unrestricted),"MDD, lifetime",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,0,,-0.048,0.021,0.203,,,,,,,,,,,,,,,,,N,ITT,,,Table ES-6 - Section 8 ITT Column,,,
Sanbonmatsu et al.,2011,1994,,Moving to opportunity for fair housing demonstration program: final impacts evaluation,Y,,Sanbonmatsu_11,Y,,,Neighborhood,,USA,0,adults,49%,21 to 30,25,3269,575,2694,,moving to opportunity - low poverty voucher (move to low-poverty neighborhood),"MDD, past year",Depression,1,,0,85827,,1827,,,,700,120,120,10-15 years,0,Y,,0,,-0.021,0.013,0.119,,,,,,,,,,,,,,,,,N,ITT,,,,,,
